Station ID, Station Name, First Year,  Last Year,  Year Range,  % Complete, MSL Trends (mm/yr), +/- 95% CI (mm/yr), MSL Trends (ft/century), +/- 95% CI (ft/century), Latitude, Longitude
545-001,"Ko Taphao Noi, Thailand",1940,2010,71,95,0.90,0.96,0.30,0.32,7.8333,98.4333
555-011,"Raffles Light House, Singapore",1973,2011,39,86,1.53,1.01,0.50,0.33,1.1667,103.7500
555-021,"Sultan Shoal, Singapore",1969,2011,43,89,3.16,0.79,1.04,0.26,1.2333,103.6500
555-051,"Sembawang, Singapore",1954,2011,58,79,-0.82,0.69,-0.27,0.23,1.4667,103.8333
600-021,"Ko Lak, Thailand",1940,2010,71,97,0.08,0.27,0.03,0.09,11.8000,99.8167
605-041,"Quinhon, Vietnam",1977,2006,30,99,-1.25,1.60,-0.41,0.52,13.7667,109.2500
605-081,"Hondau, Vietnam",1957,2001,45,99,2.18,0.71,0.72,0.23,20.6667,106.8000
609-001,"Macau, China",1925,1985,61,97,0.25,0.50,0.08,0.16,22.2000,113.5500
610-002,"Zhapo, China",1959,2011,53,99,2.11,0.45,0.69,0.15,21.5833,111.8333
610-005,"Xiamen, China",1954,2004,51,99,1.12,0.56,0.37,0.18,24.4500,118.0667
610-016,"Kanmen, China",1959,2011,53,99,1.83,0.38,0.60,0.13,28.0833,121.2833
610-032,"Lusi, China",1961,2011,51,81,4.97,0.61,1.63,0.20,32.1333,121.6167
610-039,"Qinhuangdao, China",1950,1994,45,99,-0.04,0.63,-0.01,0.21,39.9000,119.6000
610-044,"Dalian, China",1954,2011,58,78,2.06,0.52,0.68,0.17,38.8667,121.6833
611-010,"Quarry Bay/North Point, China",1929,2011,83,85,1.36,0.54,0.44,0.18,22.2911,114.2133
611-014,"Tai Po Kau, China",1963,2011,49,94,2.92,0.74,0.96,0.24,22.4425,114.1839
611-017,"Tsim Bei Tsui, China",1974,2011,38,80,0.41,1.58,0.13,0.52,22.4872,114.0142
612-002,"Keelung II, Taiwan",1956,1995,40,99,0.46,0.78,0.15,0.26,25.1333,121.7333
620-027,"Mokpo, South Korea",1960,2009,50,99,3.35,0.55,1.10,0.18,34.7833,126.4000
620-033,"Jeju, South Korea",1964,2009,46,99,5.35,0.49,1.76,0.16,33.5167,126.5333
